,_time,seq_nr,test_number_x,time_latency,ue_id,bandwidth_required,bitrate,jitter,lost_percentage,path_loss,test_number_y,transfer,ue_nr_x,DRB.PacketSuccessRateUlgNBUu,DRB.RlcPacketDropRateDl,DRB.RlcSduTransmittedVolumeDL,DRB.RlcSduTransmittedVolumeUL,DRB.UEThpDl,DRB.UEThpUl,RRU.PrbAvailDl,RRU.PrbAvailUl,RRU.PrbTotDl,RRU.PrbTotUl,collectStartTime,test_number,ue_nr_y
643,2024-04-19 10:11:22+00:00,473,1,1254.0,2,10M,2.48,7.4,0.76,10.0,1,0.3,2,100,0,0,11454,0,11491,51,5,1,90,2024-04-19 10:11:22,1,1
650,2024-04-19 10:11:27+00:00,477,1,1341.0,3,10M,1.97,9.28,0.77,10.0,1,0.24,2,100,0,1,11454,1,11491,51,5,1,90,2024-04-19 10:11:27,1,1
671,2024-04-19 10:11:42+00:00,493,1,1050.0,2,10M,2.52,4.52,0.76,10.0,1,0.31,2,100,0,0,11488,0,11526,51,5,1,90,2024-04-19 10:11:42,1,1
691,2024-04-19 10:11:56+00:00,507,1,1589.0,2,10M,1.97,6.76,0.79,10.0,1,0.24,2,100,0,1,11490,1,11526,51,5,1,90,2024-04-19 10:11:56,1,1
705,2024-04-19 10:12:06+00:00,517,1,1347.0,2,10M,2.52,9.44,0.79,10.0,1,0.31,2,100,0,0,11454,0,11491,51,5,1,90,2024-04-19 10:12:06,1,1
732,2024-04-19 10:12:25+00:00,536,1,1309.33,2,10M,2.4,9.82,0.75,10.0,1,0.29,2,100,0,0,11453,0,11492,51,5,1,90,2024-04-19 10:12:25,1,1
756,2024-04-19 10:12:42+00:00,552,1,1495.0,3,10M,2.27,7.62,0.76,10.0,1,0.28,2,100,0,0,11453,0,11492,51,5,1,90,2024-04-19 10:12:42,1,1
763,2024-04-19 10:12:47+00:00,558,1,1318.67,1,10M,2.31,6.73,0.74,10.0,1,0.28,2,100,0,0,11488,0,11526,51,5,1,90,2024-04-19 10:12:47,1,1
777,2024-04-19 10:12:57+00:00,568,1,1173.0,1,10M,2.38,7.53,0.78,10.0,1,0.29,2,100,0,0,11454,0,11491,51,5,1,90,2024-04-19 10:12:57,1,1
809,2024-04-19 10:13:19+00:00,590,1,1277.0,1,10M,2.83,4.91,0.74,10.0,1,0.34,2,100,0,0,11454,0,11492,51,5,1,90,2024-04-19 10:13:19,1,1
823,2024-04-19 10:13:29+00:00,598,1,1438.33,3,10M,2.26,6.74,0.79,10.0,1,0.28,2,100,0,0,11489,0,11526,51,5,1,90,2024-04-19 10:13:29,1,1
835,2024-04-19 10:13:37+00:00,608,1,1123.0,1,10M,2.65,5.63,0.74,10.0,1,0.32,2,100,0,0,11465,0,11492,51,5,1,90,2024-04-19 10:13:37,1,1
877,2024-04-19 10:14:08+00:00,638,1,1632.5,1,10M,2.25,6.76,0.78,10.0,1,0.28,2,100,0,0,11488,0,11526,51,5,1,90,2024-04-19 10:14:08,1,1
885,2024-04-19 10:14:14+00:00,644,1,1705.5,1,10M,1.84,10.82,0.79,10.0,1,0.22,2,100,0,0,11454,0,11491,51,5,1,90,2024-04-19 10:14:14,1,1
893,2024-04-19 10:14:20+00:00,650,1,1435.5,1,10M,2.17,8.07,0.8,10.0,1,0.27,2,100,0,0,11454,0,11491,51,5,1,90,2024-04-19 10:14:20,1,1
899,2024-04-19 10:14:24+00:00,654,1,1228.0,1,10M,2.44,7.89,0.76,10.0,1,0.3,2,100,0,1,11490,1,11526,51,5,1,90,2024-04-19 10:14:24,1,1
906,2024-04-19 10:14:29+00:00,659,1,1164.0,1,10M,2.48,6.38,0.74,10.0,1,0.3,2,100,0,1,11454,1,11491,51,5,1,90,2024-04-19 10:14:29,1,1
925,2024-04-19 10:14:42+00:00,672,1,1124.5,1,10M,2.53,6.0,0.76,10.0,1,0.31,2,100,0,0,11453,0,11492,51,5,1,90,2024-04-19 10:14:42,1,1
944,2024-04-19 10:14:55+00:00,683,1,1248.33,2,10M,2.68,4.74,0.76,10.0,1,0.33,2,100,0,1,11454,1,11491,51,5,1,90,2024-04-19 10:14:55,1,1
976,2024-04-19 10:15:18+00:00,705,1,1180.5,3,10M,2.59,6.21,0.77,10.0,1,0.32,2,100,0,0,11453,0,11492,51,5,1,90,2024-04-19 10:15:18,1,1
983,2024-04-19 10:15:23+00:00,710,1,1288.0,2,10M,2.55,5.76,0.75,10.0,1,0.31,2,100,0,0,11488,0,11526,51,5,1,90,2024-04-19 10:15:23,1,1
997,2024-04-19 10:15:33+00:00,722,1,1101.5,1,10M,2.52,5.63,0.75,10.0,1,0.31,2,100,0,0,11488,0,11526,51,5,1,90,2024-04-19 10:15:33,1,1
1004,2024-04-19 10:15:38+00:00,725,1,1197.0,2,10M,2.3,7.9,0.77,10.0,1,0.28,2,100,0,0,11453,0,11492,51,5,1,90,2024-04-19 10:15:38,1,1
1056,2024-04-19 10:16:14+00:00,760,1,1269.67,2,10M,2.41,4.25,0.74,10.0,1,0.29,2,100,0,0,11453,0,11492,51,5,1,90,2024-04-19 10:16:14,1,1
1063,2024-04-19 10:16:19+00:00,765,1,1308.5,3,10M,2.23,6.94,0.77,10.0,1,0.27,2,100,0,0,11454,0,11492,51,5,1,90,2024-04-19 10:16:19,1,1
1075,2024-04-19 10:16:28+00:00,775,1,1241.5,1,10M,2.34,6.66,0.73,10.0,1,0.28,2,100,0,0,11489,0,11526,51,5,1,90,2024-04-19 10:16:28,1,1
1082,2024-04-19 10:16:33+00:00,779,1,1672.0,2,10M,2.17,10.15,0.78,10.0,1,0.27,2,100,0,0,11454,0,11491,51,5,1,90,2024-04-19 10:16:33,1,1
1103,2024-04-19 10:16:48+00:00,795,1,1466.33,1,10M,2.39,7.03,0.76,10.0,1,0.29,2,100,0,0,11454,0,11492,51,5,1,90,2024-04-19 10:16:48,1,1
1110,2024-04-19 10:16:53+00:00,798,1,1686.0,2,10M,2.15,7.72,0.76,10.0,1,0.26,2,100,0,1,11454,1,11491,51,5,1,90,2024-04-19 10:16:53,1,1
1117,2024-04-19 10:16:58+00:00,803,1,927.0,2,10M,2.54,5.35,0.76,10.0,1,0.31,2,100,0,1,11454,1,11491,51,5,1,90,2024-04-19 10:16:58,1,1
1124,2024-04-19 10:17:03+00:00,809,1,1640.0,1,10M,2.12,7.36,0.75,10.0,1,0.26,2,100,0,1,11454,1,11491,51,5,1,90,2024-04-19 10:17:03,1,1
1145,2024-04-19 10:17:18+00:00,824,1,1844.0,1,10M,2.46,5.32,0.72,10.0,1,0.3,2,100,0,2,11455,2,11491,51,5,1,90,2024-04-19 10:17:18,1,1
1151,2024-04-19 10:17:22+00:00,827,1,1146.0,3,10M,2.58,11.14,0.73,10.0,1,0.31,2,100,0,0,11489,0,11526,51,5,1,90,2024-04-19 10:17:22,1,1
1157,2024-04-19 10:17:26+00:00,831,1,1216.67,2,10M,2.52,8.13,0.74,10.0,1,0.31,2,100,0,0,11465,0,11491,51,5,1,90,2024-04-19 10:17:26,1,1
1183,2024-04-19 10:17:44+00:00,849,1,1513.0,3,10M,2.15,7.93,0.77,10.0,1,0.26,2,100,0,0,11453,0,11492,51,5,1,90,2024-04-19 10:17:44,1,1
1189,2024-04-19 10:17:48+00:00,853,1,961.5,3,10M,2.99,5.81,0.67,10.0,1,0.37,2,100,0,1,11454,1,11491,51,5,1,90,2024-04-19 10:17:48,1,1
1195,2024-04-19 10:17:52+00:00,857,1,1160.0,3,10M,2.77,7.2,0.7,10.0,1,0.34,2,100,0,1,11490,1,11526,51,5,1,90,2024-04-19 10:17:52,1,1
1208,2024-04-19 10:18:01+00:00,865,1,1074.0,2,10M,2.46,5.37,0.73,10.0,1,0.3,2,100,0,0,11454,0,11491,51,5,1,90,2024-04-19 10:18:01,1,1
1222,2024-04-19 10:18:11+00:00,875,1,1559.67,2,10M,1.98,6.73,0.78,10.0,1,0.24,2,100,0,0,11453,0,11492,51,5,1,90,2024-04-19 10:18:11,1,1
1277,2024-04-19 10:18:50+00:00,913,1,1256.75,3,10M,2.43,6.3,0.77,10.0,1,0.3,2,100,0,0,11454,0,11491,51,5,1,90,2024-04-19 10:18:50,1,1
1296,2024-04-19 10:19:04+00:00,929,1,1369.0,1,10M,2.01,9.0,0.75,10.0,1,0.25,2,100,0,0,11453,0,11492,51,5,1,90,2024-04-19 10:19:04,1,1
1309,2024-04-19 10:19:13+00:00,938,1,1162.0,1,10M,2.47,4.55,0.73,10.0,1,0.3,2,100,0,1,11454,1,11491,51,5,1,90,2024-04-19 10:19:13,1,1
1345,2024-04-19 10:19:37+00:00,960,1,969.5,2,10M,2.98,5.05,0.72,10.0,1,0.36,2,100,0,0,11417,0,11457,51,5,1,90,2024-04-19 10:19:37,1,1
1351,2024-04-19 10:19:41+00:00,966,1,1030.67,1,10M,2.83,8.36,0.71,10.0,1,0.35,2,100,0,0,11525,0,11561,51,5,1,90,2024-04-19 10:19:41,1,1
1368,2024-04-19 10:19:52+00:00,976,1,1089.0,1,10M,2.89,4.53,0.7,10.0,1,0.35,2,100,0,0,11430,0,11464,51,6,1,88,2024-04-19 10:19:52,1,1
1375,2024-04-19 10:19:57+00:00,981,1,1365.0,1,10M,2.55,4.31,0.73,10.0,1,0.31,2,100,0,0,11465,0,11499,51,6,1,88,2024-04-19 10:19:57,1,1
1381,2024-04-19 10:20:01+00:00,985,1,1183.0,1,10M,2.8,4.09,0.73,10.0,1,0.34,2,100,0,0,11417,0,11459,51,6,1,88,2024-04-19 10:20:01,1,1
1394,2024-04-19 10:20:10+00:00,994,1,1336.0,1,10M,2.27,5.78,0.75,10.0,1,0.28,2,100,0,0,11429,0,11464,51,6,1,88,2024-04-19 10:20:10,1,1
1401,2024-04-19 10:20:15+00:00,997,1,1299.5,3,10M,2.63,6.54,0.74,10.0,1,0.32,2,100,0,1,11466,1,11499,51,6,1,88,2024-04-19 10:20:15,1,1
1413,2024-04-19 10:20:23+00:00,1007,1,969.0,1,10M,2.95,4.22,0.72,10.0,1,0.36,2,100,0,0,11430,0,11464,51,6,1,88,2024-04-19 10:20:23,1,1
1419,2024-04-19 10:20:27+00:00,1009,1,1036.0,3,10M,2.9,4.25,0.7,10.0,1,0.35,2,100,0,0,11418,0,11464,51,6,1,88,2024-04-19 10:20:27,1,1
1425,2024-04-19 10:20:31+00:00,1015,1,1166.33,1,10M,2.63,3.88,0.74,10.0,1,0.32,2,100,0,0,11465,0,11499,51,6,1,88,2024-04-19 10:20:31,1,1
1437,2024-04-19 10:20:39+00:00,1021,1,1116.67,2,10M,2.68,5.74,0.74,10.0,1,0.33,2,100,0,0,11465,0,11503,51,6,1,88,2024-04-19 10:20:39,1,1
1444,2024-04-19 10:20:44+00:00,1026,1,1357.0,2,10M,2.58,6.35,0.74,10.0,1,0.31,2,100,0,1,11454,1,11491,51,5,1,90,2024-04-19 10:20:44,1,1
1450,2024-04-19 10:20:48+00:00,1030,1,1234.0,2,10M,2.55,7.6,0.75,10.0,1,0.31,2,100,0,0,11489,0,11526,51,5,1,90,2024-04-19 10:20:48,1,1
1463,2024-04-19 10:20:57+00:00,1039,1,1164.5,2,10M,2.61,5.68,0.73,10.0,1,0.32,2,100,0,0,11488,0,11526,51,5,1,90,2024-04-19 10:20:57,1,1
1480,2024-04-19 10:21:09+00:00,1050,1,1302.0,3,10M,2.77,5.03,0.71,10.0,1,0.34,2,100,0,0,11453,0,11492,51,5,1,90,2024-04-19 10:21:09,1,1
1505,2024-04-19 10:21:26+00:00,1067,1,1140.0,3,10M,3.09,5.01,0.73,10.0,1,0.38,2,100,0,0,11453,0,11492,51,5,1,90,2024-04-19 10:21:26,1,1
1554,2024-04-19 10:22:00+00:00,1100,1,1285.0,2,10M,2.63,5.25,0.73,10.0,1,0.32,2,100,0,0,11453,0,11492,51,5,1,90,2024-04-19 10:22:00,1,1
1578,2024-04-19 10:22:16+00:00,1116,1,1343.0,2,10M,2.62,7.08,0.74,10.0,1,0.32,2,100,0,0,11489,0,11526,51,5,1,90,2024-04-19 10:22:16,1,1
1590,2024-04-19 10:22:24+00:00,1126,1,1117.33,1,10M,2.7,6.58,0.71,10.0,1,0.33,2,100,0,1,11454,1,11491,51,5,1,90,2024-04-19 10:22:24,1,1
1596,2024-04-19 10:22:28+00:00,1129,1,364.0,3,10M,3.54,4.02,0.61,10.0,1,0.43,2,100,0,1,11454,1,11491,51,6,1,88,2024-04-19 10:22:28,1,1
