,_time,seq_nr,test_number,time_latency,ue_id
106,2024-04-19 10:07:36+00:00,251,1,1149.0,3
107,2024-04-19 10:07:39+00:00,254,1,1075.0,3
108,2024-04-19 10:07:40+00:00,256,1,1031.0,2
109,2024-04-19 10:07:41+00:00,258,1,1207.0,1
110,2024-04-19 10:07:42+00:00,257,1,976.0,3
111,2024-04-19 10:07:44+00:00,259,1,1247.0,2
112,2024-04-19 10:07:45+00:00,259,1,1676.0,3
113,2024-04-19 10:07:46+00:00,261,1,922.0,3
114,2024-04-19 10:07:50+00:00,264,1,1560.0,3
115,2024-04-19 10:07:54+00:00,269,1,1466.0,2
116,2024-04-19 10:07:55+00:00,272,1,1270.0,1
117,2024-04-19 10:07:57+00:00,272,1,1471.0,2
118,2024-04-19 10:07:58+00:00,275,1,1151.0,1
119,2024-04-19 10:07:59+00:00,274,1,1186.0,2
120,2024-04-19 10:08:01+00:00,275,1,1575.0,3
121,2024-04-19 10:08:05+00:00,279,1,1613.0,3
122,2024-04-19 10:08:07+00:00,283,1,1257.0,1
123,2024-04-19 10:08:08+00:00,284,1,1314.0,1
124,2024-04-19 10:08:14+00:00,290,1,1440.0,1
125,2024-04-19 10:08:17+00:00,293,1,1381.0,1
126,2024-04-19 10:08:18+00:00,292,1,1223.0,3
127,2024-04-19 10:08:19+00:00,295,1,1355.0,1
128,2024-04-19 10:08:20+00:00,294,1,1279.0,3
129,2024-04-19 10:08:22+00:00,297,1,1283.0,2
130,2024-04-19 10:08:24+00:00,298,1,1318.0,3
131,2024-04-19 10:08:26+00:00,302,1,1018.0,1
132,2024-04-19 10:08:31+00:00,305,1,1370.0,3
133,2024-04-19 10:08:32+00:00,306,1,877.0,3
134,2024-04-19 10:08:35+00:00,311,1,1199.0,1
135,2024-04-19 10:08:36+00:00,310,1,1040.0,3
136,2024-04-19 10:08:37+00:00,311,1,1435.0,3
137,2024-04-19 10:08:44+00:00,318,1,1412.0,3
138,2024-04-19 10:08:46+00:00,320,1,1328.0,3
139,2024-04-19 10:08:47+00:00,321,1,1266.0,2
140,2024-04-19 10:08:48+00:00,322,1,1081.0,2
141,2024-04-19 10:08:49+00:00,323,1,1321.0,3
142,2024-04-19 10:08:50+00:00,324,1,1253.0,2
143,2024-04-19 10:08:51+00:00,325,1,1216.0,3
144,2024-04-19 10:08:53+00:00,327,1,855.0,2
145,2024-04-19 10:08:55+00:00,329,1,1146.0,2
146,2024-04-19 10:08:56+00:00,330,1,1267.0,2
147,2024-04-19 10:08:58+00:00,331,1,1706.0,3
148,2024-04-19 10:08:59+00:00,333,1,1172.0,3
149,2024-04-19 10:09:00+00:00,334,1,1376.0,2
150,2024-04-19 10:09:01+00:00,337,1,1224.0,1
151,2024-04-19 10:09:02+00:00,336,1,1160.0,2
152,2024-04-19 10:09:03+00:00,337,1,1282.0,2
153,2024-04-19 10:09:04+00:00,338,1,1113.0,2
154,2024-04-19 10:09:06+00:00,339,1,1519.0,3
155,2024-04-19 10:09:07+00:00,340,1,1124.0,3
156,2024-04-19 10:09:08+00:00,342,1,1081.0,3
157,2024-04-19 10:09:09+00:00,343,1,1310.0,2
158,2024-04-19 10:09:10+00:00,343,1,1407.0,3
159,2024-04-19 10:09:11+00:00,345,1,1176.0,2
160,2024-04-19 10:09:15+00:00,350,1,1395.0,1
161,2024-04-19 10:09:17+00:00,352,1,1122.0,1
162,2024-04-19 10:09:23+00:00,358,1,1378.0,1
163,2024-04-19 10:09:25+00:00,358,1,1469.0,2
164,2024-04-19 10:09:26+00:00,359,1,1595.0,3
165,2024-04-19 10:09:28+00:00,361,1,1303.0,3
166,2024-04-19 10:09:30+00:00,365,1,1444.0,1
167,2024-04-19 10:09:31+00:00,366,1,1613.0,1
168,2024-04-19 10:09:32+00:00,367,1,1515.0,1
169,2024-04-19 10:09:37+00:00,370,1,1538.0,3
170,2024-04-19 10:09:38+00:00,373,1,1122.0,1
171,2024-04-19 10:09:39+00:00,374,1,1509.0,1
172,2024-04-19 10:09:40+00:00,373,1,1220.0,3
173,2024-04-19 10:09:44+00:00,379,1,1350.0,1
174,2024-04-19 10:09:47+00:00,382,1,1336.0,1
175,2024-04-19 10:09:49+00:00,381,1,1430.0,3
176,2024-04-19 10:09:50+00:00,383,1,1088.0,2
177,2024-04-19 10:09:59+00:00,392,1,1037.0,3
178,2024-04-19 10:10:03+00:00,398,1,1212.0,1
179,2024-04-19 10:10:05+00:00,399,1,1352.0,1
180,2024-04-19 10:10:09+00:00,401,1,1708.0,2
181,2024-04-19 10:10:10+00:00,402,1,1386.0,3
182,2024-04-19 10:10:17+00:00,409,1,1537.0,3
183,2024-04-19 10:10:18+00:00,410,1,1495.0,3
184,2024-04-19 10:10:20+00:00,414,1,1496.0,1
185,2024-04-19 10:10:21+00:00,415,1,1816.0,1
186,2024-04-19 10:10:23+00:00,415,1,1535.0,2
187,2024-04-19 10:10:25+00:00,417,1,1102.0,3
188,2024-04-19 10:10:26+00:00,418,1,1063.0,3
189,2024-04-19 10:10:27+00:00,419,1,1211.0,3
190,2024-04-19 10:10:31+00:00,423,1,1138.0,3
191,2024-04-19 10:10:33+00:00,425,1,1355.0,3
192,2024-04-19 10:10:35+00:00,427,1,1216.0,3
193,2024-04-19 10:10:36+00:00,428,1,1265.0,3
194,2024-04-19 10:10:37+00:00,429,1,1350.0,3
195,2024-04-19 10:10:38+00:00,432,1,1427.0,1
196,2024-04-19 10:10:40+00:00,434,1,1174.0,1
197,2024-04-19 10:10:45+00:00,439,1,1306.0,1
198,2024-04-19 10:10:47+00:00,441,1,1329.0,1
199,2024-04-19 10:10:49+00:00,443,1,1275.0,1
200,2024-04-19 10:10:59+00:00,450,1,1889.0,3
201,2024-04-19 10:11:01+00:00,453,1,1284.0,2
202,2024-04-19 10:11:02+00:00,454,1,1201.0,2
203,2024-04-19 10:11:04+00:00,457,1,1700.0,1
204,2024-04-19 10:11:05+00:00,458,1,1522.0,1
205,2024-04-19 10:11:06+00:00,458,1,950.0,2
206,2024-04-19 10:11:07+00:00,458,1,1083.0,3
207,2024-04-19 10:11:08+00:00,461,1,1849.0,1
208,2024-04-19 10:11:09+00:00,461,1,1210.0,2
209,2024-04-19 10:11:10+00:00,463,1,1113.0,1
210,2024-04-19 10:11:11+00:00,462,1,1567.0,3
211,2024-04-19 10:11:12+00:00,463,1,1381.0,2
212,2024-04-19 10:11:13+00:00,466,1,1202.0,1
213,2024-04-19 10:11:14+00:00,465,1,1141.0,3
214,2024-04-19 10:11:16+00:00,468,1,1053.0,2
215,2024-04-19 10:11:19+00:00,472,1,1188.0,1
216,2024-04-19 10:11:20+00:00,471,1,1320.0,3
217,2024-04-19 10:11:22+00:00,473,1,1176.0,2
218,2024-04-19 10:11:23+00:00,476,1,1195.0,1
219,2024-04-19 10:11:25+00:00,476,1,1487.0,3
220,2024-04-19 10:11:27+00:00,477,1,1738.0,3
221,2024-04-19 10:11:28+00:00,480,1,990.0,2
222,2024-04-19 10:11:30+00:00,483,1,1498.0,1
223,2024-04-19 10:11:37+00:00,490,1,1305.0,1
224,2024-04-19 10:11:38+00:00,489,1,1050.0,3
