,_time,DRB.PacketSuccessRateUlgNBUu,DRB.RlcPacketDropRateDl,DRB.RlcSduTransmittedVolumeDL,DRB.RlcSduTransmittedVolumeUL,DRB.UEThpDl,DRB.UEThpUl
93,2024-03-28 11:39:06+00:00,100,0,2,34314,2,34416
94,2024-03-28 11:39:10+00:00,100,0,2,34410,2,34520
95,2024-03-28 11:39:14+00:00,100,0,2,34339,2,34446
96,2024-03-28 11:39:18+00:00,100,0,2,34374,2,34485
97,2024-03-28 11:39:22+00:00,100,0,2,34374,2,34485
98,2024-03-28 11:39:26+00:00,100,0,2,34339,2,34450
99,2024-03-28 11:39:30+00:00,100,0,2,34303,2,34411
100,2024-03-28 11:39:34+00:00,100,0,1,34337,1,34450
101,2024-03-28 11:39:38+00:00,100,0,2,34445,2,34555
102,2024-03-28 11:39:42+00:00,100,0,2,34303,2,34416
103,2024-03-28 11:39:46+00:00,100,0,2,34338,2,34446
104,2024-03-28 11:39:50+00:00,100,0,2,34374,2,34485
105,2024-03-28 11:39:54+00:00,100,0,2,34314,2,34416
106,2024-03-28 11:39:58+00:00,100,0,2,34410,2,34520
107,2024-03-28 11:40:02+00:00,100,0,2,34232,2,34342
108,2024-03-28 11:40:06+00:00,100,0,2,34481,2,34589
109,2024-03-28 11:40:10+00:00,100,0,2,34268,2,34381
110,2024-03-28 11:40:14+00:00,100,0,2,34445,2,34554
111,2024-03-28 11:40:18+00:00,100,0,2,34339,2,34446
112,2024-03-28 11:40:22+00:00,100,0,2,34374,2,34485
113,2024-03-28 11:40:26+00:00,100,0,1,34302,1,34416
114,2024-03-28 11:40:30+00:00,100,0,2,34386,2,34485
115,2024-03-28 11:40:34+00:00,100,0,1,34337,1,34446
116,2024-03-28 11:40:38+00:00,100,0,2,33428,2,33541
117,2024-03-28 11:40:42+00:00,100,0,2,32173,2,32275
118,2024-03-28 11:40:46+00:00,100,0,2,34374,2,34485
119,2024-03-28 11:40:50+00:00,100,0,2,34339,2,34446
120,2024-03-28 11:40:54+00:00,100,0,2,34268,2,34381
121,2024-03-28 11:40:58+00:00,100,0,2,34339,2,34450
122,2024-03-28 11:41:02+00:00,100,0,2,34386,2,34485
123,2024-03-28 11:41:06+00:00,100,0,2,34291,2,34411
124,2024-03-28 11:41:10+00:00,100,0,2,34315,2,34416
125,2024-03-28 11:41:14+00:00,100,0,2,34339,2,34450
126,2024-03-28 11:41:18+00:00,100,0,2,34410,2,34520
127,2024-03-28 11:41:22+00:00,100,0,1,34373,1,34481
128,2024-03-28 11:41:26+00:00,100,0,2,34374,2,34485
129,2024-03-28 11:41:30+00:00,100,0,1,34337,1,34450
130,2024-03-28 11:41:34+00:00,100,0,2,34445,2,34554
131,2024-03-28 11:41:38+00:00,100,0,1,34302,1,34411
132,2024-03-28 11:41:42+00:00,100,0,1,34373,1,34485
133,2024-03-28 11:41:46+00:00,100,0,0,34348,0,34450
134,2024-03-28 11:41:50+00:00,100,0,2,34338,2,34450
135,2024-03-28 11:41:54+00:00,100,0,2,34374,2,34480
136,2024-03-28 11:41:58+00:00,100,0,2,34374,2,34485
137,2024-03-28 11:42:02+00:00,100,0,2,34374,2,34485
138,2024-03-28 11:42:06+00:00,100,0,1,34373,1,34485
139,2024-03-28 11:42:10+00:00,100,0,1,34266,1,34376
140,2024-03-28 11:42:14+00:00,100,0,0,34384,0,34485
141,2024-03-28 11:42:18+00:00,100,0,2,34374,2,34485
142,2024-03-28 11:42:22+00:00,100,0,2,34374,2,34485
143,2024-03-28 11:42:26+00:00,100,0,2,34268,2,34376
144,2024-03-28 11:42:30+00:00,100,0,1,34373,1,34485
145,2024-03-28 11:42:34+00:00,100,0,0,34242,0,34346
146,2024-03-28 11:42:38+00:00,100,0,2,34552,2,34659
147,2024-03-28 11:42:42+00:00,100,0,2,34327,2,34446
148,2024-03-28 11:42:46+00:00,100,0,2,34385,2,34485
149,2024-03-28 11:42:50+00:00,100,0,2,34374,2,34485
150,2024-03-28 11:42:54+00:00,100,0,2,34374,2,34485
151,2024-03-28 11:42:58+00:00,100,0,1,34337,1,34446
152,2024-03-28 11:43:02+00:00,100,0,2,34374,2,34485
153,2024-03-28 11:43:06+00:00,100,0,1,34444,1,34555
154,2024-03-28 11:43:10+00:00,100,0,2,34339,2,34450
155,2024-03-28 11:43:14+00:00,100,0,1,34337,1,34446
156,2024-03-28 11:43:18+00:00,100,0,2,34374,2,34485
157,2024-03-28 11:43:22+00:00,100,0,1,34385,1,34485
158,2024-03-28 11:43:26+00:00,100,0,2,34303,2,34416
159,2024-03-28 11:43:30+00:00,100,0,2,34410,2,34515
160,2024-03-28 11:43:34+00:00,100,0,2,34374,2,34485
161,2024-03-28 11:43:38+00:00,100,0,1,34373,1,34485
162,2024-03-28 11:43:42+00:00,100,0,1,34337,1,34450
163,2024-03-28 11:43:46+00:00,100,0,2,34338,2,34446
164,2024-03-28 11:43:50+00:00,100,0,2,34374,2,34485
165,2024-03-28 11:43:54+00:00,100,0,2,34374,2,34485
166,2024-03-28 11:43:58+00:00,100,0,2,34374,2,34485
167,2024-03-28 11:44:02+00:00,100,0,2,34338,2,34446
168,2024-03-28 11:44:06+00:00,100,0,2,34374,2,34485
169,2024-03-28 11:44:10+00:00,100,0,2,34315,2,34416
170,2024-03-28 11:44:14+00:00,100,0,2,34374,2,34485
171,2024-03-28 11:44:18+00:00,100,0,2,34338,2,34446
172,2024-03-28 11:44:22+00:00,100,0,0,34372,0,34485
173,2024-03-28 11:44:26+00:00,100,0,2,34339,2,34450
174,2024-03-28 11:44:30+00:00,100,0,0,34372,0,34485
175,2024-03-28 11:44:34+00:00,100,0,1,34337,1,34446
176,2024-03-28 11:44:38+00:00,100,0,2,34385,2,34485
177,2024-03-28 11:44:42+00:00,100,0,2,34303,2,34416
178,2024-03-28 11:44:46+00:00,100,0,2,34374,2,34485
179,2024-03-28 11:44:50+00:00,100,0,1,34302,1,34411
180,2024-03-28 11:44:54+00:00,100,0,1,34444,1,34555
181,2024-03-28 11:44:58+00:00,100,0,2,34374,2,34485
182,2024-03-28 11:45:02+00:00,100,0,2,34374,2,34485
183,2024-03-28 11:45:06+00:00,100,0,2,34338,2,34446
184,2024-03-28 11:45:10+00:00,100,0,2,34351,2,34450
185,2024-03-28 11:45:14+00:00,100,0,1,34373,1,34485
