,bandwidth_required,bitrate,jitter,lost_percentage,path_loss,transfer,ue_nr,DRB.PacketSuccessRateUlgNBUu,DRB.RlcPacketDropRateDl,DRB.RlcSduTransmittedVolumeDL,DRB.RlcSduTransmittedVolumeUL,DRB.UEThpDl,DRB.UEThpUl,time_latency
171,10000000.0,8.409999999999998,1.4806666666666668,0.15666666666666665,12.59000015258789,1.0033333333333332,1,100.0,0.0,2.0,34374.0,2.0,34485.0,337.0
179,10000000.0,8.382857142857143,2.359142857142857,0.15257142857142858,11.649999618530273,1.009,1,100.0,0.0,2.0,34374.0,2.0,34480.0,351.8333333333333
183,10000000.0,8.316666666666668,1.6740000000000002,0.11533333333333333,11.649999618530273,1.009,1,100.0,0.0,2.0,34374.0,2.0,34485.0,392.0
187,10000000.0,8.39,1.7413333333333334,0.16,6.423333168029785,1.0153333333333334,1,100.0,0.0,2.0,34374.0,2.0,34485.0,341.5
195,10000000.0,8.41,2.0845714285714285,0.16428571428571428,3.809999942779541,1.0132857142857143,1,100.0,0.0,2.0,34338.0,2.0,34446.0,361.8
203,10000000.0,8.4,1.678857142857143,0.15285714285714286,7.041428702218192,1.0124285714285712,1,100.0,0.0,2.0,34385.0,2.0,34485.0,363.4
207,10000000.0,8.343333333333334,1.7033333333333331,0.15333333333333335,11.350000381469727,1.0090000000000001,1,100.0,0.0,2.0,34374.0,2.0,34485.0,410.5
211,10000000.0,8.43,1.6376666666666668,0.17,11.350000381469727,1.0066666666666666,1,100.0,0.0,2.0,34338.0,2.0,34446.0,354.3333333333333
215,10000000.0,8.12,2.2473333333333336,0.17,11.350000381469727,0.9846666666666666,1,100.0,0.0,2.0,34410.0,2.0,34520.0,328.5
219,10000000.0,8.446666666666667,1.6136666666666668,0.15666666666666665,2.880000114440918,1.014,1,100.0,0.0,2.0,34303.0,2.0,34416.0,394.0
223,10000000.0,8.36,1.912,0.15,2.880000114440918,1.014,1,100.0,0.0,2.0,34409.0,2.0,34520.0,368.5
227,10000000.0,8.416666666666666,1.782333333333333,0.16,2.880000114440918,1.0136666666666667,1,100.0,0.0,2.0,34339.0,2.0,34446.0,391.5
231,10000000.0,8.31,1.7636666666666667,0.17333333333333334,3.306666692097982,1.008,1,100.0,0.0,2.0,34374.0,2.0,34485.0,382.6666666666667
235,10000000.0,8.056666666666667,1.8966666666666665,0.14,4.159999847412109,0.969,1,100.0,0.0,2.0,34374.0,2.0,34485.0,438.0
239,10000000.0,8.420000000000002,1.7596666666666667,0.16666666666666666,4.159999847412109,1.0106666666666666,1,100.0,0.0,2.0,34374.0,2.0,34485.0,375.6666666666667
247,10000000.0,8.405714285714286,1.6165714285714283,0.1422857142857143,2.971428462437221,1.0132857142857143,1,100.0,0.0,1.0,34373.0,1.0,34485.0,347.25
251,10000000.0,8.353333333333333,2.5496666666666665,0.116,0.0,1.0033333333333334,1,100.0,0.0,2.0,34314.0,2.0,34416.0,361.0
255,10000000.0,9.14,1.226,0.09100000000000001,0.0,1.09,1,100.0,0.0,1.0,34373.0,1.0,34485.0,339.6666666666667
259,10000000.0,8.12,1.59,0.16666666666666666,0.0,0.9846666666666666,1,100.0,0.0,2.0,34338.0,2.0,34446.0,455.0
263,10000000.0,8.343333333333334,1.890666666666667,0.20666666666666667,6.309999942779541,1.0066666666666666,1,100.0,0.0,2.0,34303.0,2.0,34416.0,292.0
275,10000000.0,8.374545454545453,1.8969090909090909,0.15181818181818182,6.309999942779541,1.0134545454545454,1,100.0,0.0,2.0,34398.0,2.0,34515.0,368.8333333333333
283,10000000.0,8.367142857142857,1.7209999999999996,0.15714285714285717,10.220000267028809,1.012,1,100.0,0.0,2.0,34445.0,2.0,34555.0,366.6
287,10000000.0,8.33,2.2373333333333334,0.16333333333333333,10.220000267028809,1.0086666666666666,1,100.0,0.0,2.0,34374.0,2.0,34485.0,401.0
291,10000000.0,8.406666666666666,1.6556666666666668,0.16333333333333333,6.8366668447852135,1.018,1,100.0,0.0,2.0,34339.0,2.0,34446.0,387.0
299,10000000.0,8.448571428571428,2.1011428571428574,0.154,0.07000000029802322,1.0088571428571427,1,100.0,0.0,1.0,34373.0,1.0,34485.0,384.4
303,10000000.0,8.466666666666667,2.2279999999999998,0.16,0.07000000029802322,1.0170000000000001,1,100.0,0.0,2.0,34244.0,2.0,34346.0,375.0
307,10000000.0,8.453333333333333,2.087666666666667,0.15666666666666665,6.970000050961971,1.0156666666666665,1,100.0,0.0,2.0,34504.0,2.0,34619.0,423.3333333333333
315,10000000.0,8.415714285714285,1.9411428571428573,0.1542857142857143,10.420000076293945,1.0132857142857141,1,100.0,0.0,1.0,34385.0,1.0,34485.0,403.0
323,10000000.0,8.425714285714285,2.4227142857142856,0.15271428571428572,6.760000041552952,1.014,1,100.0,0.0,2.0,34374.0,2.0,34481.0,382.1666666666667
331,10000000.0,8.392857142857142,1.6687142857142858,0.16,1.8799999952316284,1.0111428571428571,1,100.0,0.0,1.0,34515.0,1.0,34624.0,374.6
