,_time,DRB.AirIfDelayUl,DRB.PacketSuccessRateUlgNBUu,DRB.RlcDelayUl,DRB.RlcPacketDropRateDl,DRB.RlcSduTransmittedVolumeDL,DRB.RlcSduTransmittedVolumeUL,DRB.UEThpDl,DRB.UEThpUl,RRU.PrbAvailDl,RRU.PrbAvailUl,RRU.PrbTotDl,RRU.PrbTotUl,collectStartTime,test_number,bandwidth_required,noise_amplitude,prb
25527,2024-07-06 18:32:36+00:00,30.0,100,2277.0,0,0,1124,0,1128,51,30,1,42,2024-07-06 18:32:36,36,1M,-27.3,52.0
25528,2024-07-06 18:32:37+00:00,30.0,100,3036.0,0,0,1053,0,1057,51,31,1,40,2024-07-06 18:32:37,36,1M,-27.3,52.0
25529,2024-07-06 18:32:38+00:00,30.0,100,2975.0,0,0,1124,0,1130,51,32,1,38,2024-07-06 18:32:38,36,1M,-27.3,52.0
25530,2024-07-06 18:32:40+00:00,30.0,100,3189.0,0,0,1124,0,1127,51,34,1,34,2024-07-06 18:32:40,36,1M,-27.3,52.0
25531,2024-07-06 18:32:41+00:00,30.0,100,2786.0,0,0,1101,0,1109,51,31,1,40,2024-07-06 18:32:41,36,1M,-27.3,52.0
25532,2024-07-06 18:32:42+00:00,30.0,100,3114.0,0,0,1077,0,1081,51,32,1,38,2024-07-06 18:32:42,36,1M,-27.3,52.0
25533,2024-07-06 18:32:43+00:00,30.0,100,3154.0,0,0,1160,0,1164,51,33,1,36,2024-07-06 18:32:43,36,1M,-27.3,52.0
25534,2024-07-06 18:32:44+00:00,30.0,100,2876.0,0,0,1112,0,1112,51,30,1,42,2024-07-06 18:32:44,36,1M,-27.3,52.0
25535,2024-07-06 18:32:45+00:00,30.0,100,2422.0,0,0,1089,0,1092,51,29,1,44,2024-07-06 18:32:45,36,1M,-27.3,52.0
25536,2024-07-06 18:32:46+00:00,30.0,100,2027.0,0,1,1149,1,1152,51,30,1,42,2024-07-06 18:32:46,36,1M,-27.3,52.0
25537,2024-07-06 18:32:47+00:00,30.0,100,3633.0,0,0,1101,0,1105,51,30,1,42,2024-07-06 18:32:47,36,1M,-27.3,52.0
25538,2024-07-06 18:32:48+00:00,30.0,100,2364.0,0,0,1065,0,1073,51,28,1,46,2024-07-06 18:32:48,36,1M,-27.3,52.0
25539,2024-07-06 18:32:49+00:00,30.0,100,2894.0,0,0,1124,0,1124,51,29,1,44,2024-07-06 18:32:49,36,1M,-27.3,52.0
25540,2024-07-06 18:32:50+00:00,30.0,100,2502.0,0,0,1101,0,1104,51,30,1,42,2024-07-06 18:32:50,36,1M,-27.3,52.0
25541,2024-07-06 18:32:52+00:00,30.0,100,2931.0,0,0,1148,0,1156,51,30,1,42,2024-07-06 18:32:52,36,1M,-27.3,52.0
25542,2024-07-06 18:32:53+00:00,30.0,100,2520.0,0,0,1148,0,1148,51,30,1,42,2024-07-06 18:32:53,36,1M,-27.3,52.0
25543,2024-07-06 18:32:54+00:00,30.0,100,3064.0,0,0,1089,0,1097,51,31,1,40,2024-07-06 18:32:54,36,1M,-27.3,52.0
25544,2024-07-06 18:32:55+00:00,30.0,100,3084.0,0,0,1101,0,1105,51,33,1,36,2024-07-06 18:32:55,36,1M,-27.3,52.0
25545,2024-07-06 18:32:56+00:00,30.0,100,2023.0,0,0,1089,0,1092,51,28,1,46,2024-07-06 18:32:56,36,1M,-27.3,52.0
25546,2024-07-06 18:32:57+00:00,30.0,100,2656.0,0,0,1124,0,1133,51,30,1,42,2024-07-06 18:32:57,36,1M,-27.3,52.0
25547,2024-07-06 18:32:58+00:00,30.0,100,2630.0,0,0,1112,0,1106,51,29,1,44,2024-07-06 18:32:58,36,1M,-27.3,52.0
25548,2024-07-06 18:32:59+00:00,30.0,100,2863.0,0,1,1054,1,1059,51,32,1,38,2024-07-06 18:32:59,36,1M,-27.3,52.0
25549,2024-07-06 18:33:00+00:00,30.0,100,2961.0,0,0,1160,0,1167,51,30,1,42,2024-07-06 18:33:00,36,1M,-27.3,52.0
25550,2024-07-06 18:33:01+00:00,30.0,100,2924.0,0,0,1089,0,1088,51,30,1,42,2024-07-06 18:33:01,36,1M,-27.3,52.0
25551,2024-07-06 18:33:02+00:00,30.0,100,2406.0,0,0,1089,0,1092,51,33,1,36,2024-07-06 18:33:02,36,1M,-27.3,52.0
25552,2024-07-06 18:33:03+00:00,30.0,100,2335.0,0,0,1101,0,1104,51,31,1,40,2024-07-06 18:33:03,36,1M,-27.3,52.0
25553,2024-07-06 18:33:04+00:00,30.0,100,2560.0,0,0,1112,0,1116,51,30,1,42,2024-07-06 18:33:04,36,1M,-27.3,52.0
25554,2024-07-06 18:33:06+00:00,30.0,100,2699.0,0,0,1065,0,1073,51,27,1,48,2024-07-06 18:33:06,36,1M,-27.3,52.0
25555,2024-07-06 18:33:07+00:00,30.0,100,2920.0,0,0,1112,0,1112,51,27,1,48,2024-07-06 18:33:07,36,1M,-27.3,52.0
25556,2024-07-06 18:33:08+00:00,30.0,100,3181.0,0,0,1053,0,1057,51,31,1,40,2024-07-06 18:33:08,36,1M,-27.3,52.0
25557,2024-07-06 18:33:09+00:00,30.0,100,2408.0,0,0,1089,0,1092,51,30,1,42,2024-07-06 18:33:09,36,1M,-27.3,52.0
25558,2024-07-06 18:33:10+00:00,30.0,100,2902.0,0,0,1053,0,1061,51,31,1,40,2024-07-06 18:33:10,36,1M,-27.3,52.0
25559,2024-07-06 18:33:11+00:00,30.0,100,3003.0,0,0,1124,0,1124,51,34,1,34,2024-07-06 18:33:11,36,1M,-27.3,52.0
25560,2024-07-06 18:33:12+00:00,30.0,100,2673.0,0,0,1124,0,1128,51,30,1,42,2024-07-06 18:33:12,36,1M,-27.3,52.0
25561,2024-07-06 18:33:13+00:00,30.0,100,4511.0,0,1,1149,1,1159,51,35,1,32,2024-07-06 18:33:13,36,1M,-27.3,52.0
25562,2024-07-06 18:33:14+00:00,30.0,100,2078.0,0,0,1101,0,1104,51,32,1,38,2024-07-06 18:33:14,36,1M,-27.3,52.0
25563,2024-07-06 18:33:15+00:00,30.0,100,2933.0,0,0,1112,0,1112,51,31,1,40,2024-07-06 18:33:15,36,1M,-19.0,52.0
25564,2024-07-06 18:33:16+00:00,30.0,100,3356.0,0,0,1089,0,1107,51,32,1,38,2024-07-06 18:33:16,36,1M,-19.0,52.0
25565,2024-07-06 18:33:17+00:00,30.0,100,3572.0,0,0,1089,0,1101,51,33,1,36,2024-07-06 18:33:17,36,1M,-19.0,52.0
25566,2024-07-06 18:33:18+00:00,30.0,100,2804.0,0,0,1077,0,1093,51,32,1,38,2024-07-06 18:33:18,36,1M,-19.0,52.0
25567,2024-07-06 18:33:20+00:00,30.0,100,1940.0,0,0,1124,0,1139,51,28,1,46,2024-07-06 18:33:20,36,1M,-19.0,52.0
25568,2024-07-06 18:33:21+00:00,30.0,100,2099.0,0,0,1077,0,1080,51,29,1,44,2024-07-06 18:33:21,36,1M,-19.0,52.0
25569,2024-07-06 18:33:22+00:00,30.0,100,2597.0,0,0,1101,0,1111,51,28,1,46,2024-07-06 18:33:22,36,1M,-19.0,52.0
25570,2024-07-06 18:33:23+00:00,30.0,100,1972.0,0,0,1136,0,1144,51,29,1,44,2024-07-06 18:33:23,36,1M,-19.0,52.0
25571,2024-07-06 18:33:24+00:00,30.0,100,3471.0,0,0,1112,0,1136,51,29,1,44,2024-07-06 18:33:24,36,1M,-19.0,52.0
25572,2024-07-06 18:33:25+00:00,30.0,100,2712.0,0,0,1077,0,1096,51,28,1,46,2024-07-06 18:33:25,36,1M,-19.0,52.0
25573,2024-07-06 18:33:26+00:00,30.0,100,3421.0,0,0,1101,0,1113,51,34,1,34,2024-07-06 18:33:26,36,1M,-19.0,52.0
25574,2024-07-06 18:33:27+00:00,30.0,100,2657.0,0,1,1137,1,1145,51,31,1,40,2024-07-06 18:33:27,36,1M,-19.0,52.0
25575,2024-07-06 18:33:28+00:00,30.0,100,2497.0,0,0,1089,0,1097,51,30,1,42,2024-07-06 18:33:28,36,1M,-19.0,52.0
25576,2024-07-06 18:33:29+00:00,30.0,100,2430.0,0,0,1101,0,1112,51,30,1,42,2024-07-06 18:33:29,36,1M,-19.0,52.0
25577,2024-07-06 18:33:30+00:00,30.0,100,3317.0,0,0,1089,0,1093,51,28,1,46,2024-07-06 18:33:30,36,1M,-19.0,52.0
25578,2024-07-06 18:33:31+00:00,30.0,100,2354.0,0,0,1077,0,1080,51,30,1,42,2024-07-06 18:33:31,36,1M,-19.0,52.0
25579,2024-07-06 18:33:32+00:00,30.0,100,3068.0,0,0,1089,0,1093,51,32,1,38,2024-07-06 18:33:32,36,1M,-19.0,52.0
25580,2024-07-06 18:33:34+00:00,30.0,100,2106.0,0,0,1077,0,1080,51,28,1,46,2024-07-06 18:33:34,36,1M,-19.0,52.0
25581,2024-07-06 18:33:35+00:00,30.0,100,2988.0,0,0,1112,0,1125,51,30,1,42,2024-07-06 18:33:35,36,1M,-19.0,52.0
25582,2024-07-06 18:33:36+00:00,30.0,100,2950.0,0,0,1124,0,1120,51,32,1,38,2024-07-06 18:33:36,36,1M,-19.0,52.0
25583,2024-07-06 18:33:37+00:00,30.0,100,3135.0,0,0,1077,0,1084,51,29,1,44,2024-07-06 18:33:37,36,1M,-19.0,52.0
25584,2024-07-06 18:33:38+00:00,30.0,100,3362.0,0,0,1089,0,1105,51,28,1,46,2024-07-06 18:33:38,36,1M,-19.0,52.0
25585,2024-07-06 18:33:39+00:00,30.0,100,3074.0,0,0,1065,0,1070,51,32,1,38,2024-07-06 18:33:39,36,1M,-19.0,52.0
25586,2024-07-06 18:33:40+00:00,30.0,100,2790.0,0,0,1148,0,1155,51,27,1,48,2024-07-06 18:33:40,36,1M,-19.0,52.0
25587,2024-07-06 18:33:41+00:00,30.0,100,2073.0,0,0,1112,0,1116,51,34,1,34,2024-07-06 18:33:41,36,1M,-19.0,52.0
25588,2024-07-06 18:33:42+00:00,30.0,100,1823.0,0,1,1078,0,1081,51,27,1,48,2024-07-06 18:33:42,36,1M,-19.0,52.0
25589,2024-07-06 18:33:43+00:00,30.0,100,2225.0,0,0,1112,1,1128,51,29,1,44,2024-07-06 18:33:43,36,1M,-19.0,52.0
25590,2024-07-06 18:33:44+00:00,30.0,100,3004.0,0,0,1101,0,1116,51,28,1,46,2024-07-06 18:33:44,36,1M,-19.0,52.0
25591,2024-07-06 18:33:45+00:00,30.0,100,2559.0,0,0,1112,0,1116,51,29,1,44,2024-07-06 18:33:45,36,1M,-19.0,52.0
25592,2024-07-06 18:33:46+00:00,30.0,100,2813.0,0,0,1101,0,1104,51,30,1,42,2024-07-06 18:33:46,36,1M,-19.0,52.0
25593,2024-07-06 18:33:48+00:00,30.0,100,2723.0,0,0,1077,0,1080,51,28,1,46,2024-07-06 18:33:48,36,1M,-19.0,52.0
25594,2024-07-06 18:33:49+00:00,30.0,100,2655.0,0,0,1101,0,1129,51,29,1,44,2024-07-06 18:33:49,36,1M,-19.0,52.0
25595,2024-07-06 18:33:50+00:00,30.0,100,2770.0,0,0,1065,0,1069,51,29,1,44,2024-07-06 18:33:50,36,1M,-19.0,52.0
25596,2024-07-06 18:33:51+00:00,30.0,100,2900.0,0,0,1077,0,1085,51,31,1,40,2024-07-06 18:33:51,36,1M,-19.0,52.0
25597,2024-07-06 18:33:52+00:00,30.0,100,2866.0,0,0,1124,0,1124,51,31,1,40,2024-07-06 18:33:52,36,1M,-19.0,52.0
25598,2024-07-06 18:33:53+00:00,30.0,100,2647.0,0,0,1065,0,1081,51,30,1,42,2024-07-06 18:33:53,36,1M,-19.0,52.0
25599,2024-07-06 18:33:54+00:00,30.0,100,2440.0,0,0,1112,0,1121,51,28,1,46,2024-07-06 18:33:54,36,1M,-19.0,52.0
25600,2024-07-06 18:33:55+00:00,30.0,100,2460.0,0,0,1172,0,1171,51,29,1,44,2024-07-06 18:33:55,36,1M,-19.0,52.0
25601,2024-07-06 18:33:56+00:00,30.0,100,2263.0,0,1,1125,1,1133,51,29,1,44,2024-07-06 18:33:56,36,1M,-19.0,52.0
25602,2024-07-06 18:33:57+00:00,30.0,100,2978.0,0,0,1160,0,1160,51,29,1,44,2024-07-06 18:33:57,36,1M,-19.0,52.0
25603,2024-07-06 18:33:58+00:00,30.0,100,3506.0,0,0,1195,0,1204,51,32,1,38,2024-07-06 18:33:58,36,1M,-19.0,52.0
25604,2024-07-06 18:34:00+00:00,30.0,100,2305.0,0,0,1172,0,1183,51,32,1,38,2024-07-06 18:34:00,36,1M,-19.0,52.0
25605,2024-07-06 18:34:01+00:00,30.0,100,3307.0,0,0,1101,0,1111,51,32,1,38,2024-07-06 18:34:01,36,1M,-19.0,52.0
25606,2024-07-06 18:34:02+00:00,30.0,100,3058.0,0,0,1077,0,1117,51,30,1,42,2024-07-06 18:34:02,36,1M,-19.0,52.0
25607,2024-07-06 18:34:03+00:00,30.0,100,3291.0,0,0,1112,0,1116,51,31,1,40,2024-07-06 18:34:03,36,1M,-19.0,52.0
25608,2024-07-06 18:34:04+00:00,30.0,100,3194.0,0,0,1089,0,1105,51,30,1,42,2024-07-06 18:34:04,36,1M,-19.0,52.0
25609,2024-07-06 18:34:05+00:00,30.0,100,3551.0,0,0,1124,0,1127,51,31,1,40,2024-07-06 18:34:05,36,1M,-19.0,52.0
25610,2024-07-06 18:34:06+00:00,30.0,100,3490.0,0,0,1160,0,1165,51,33,1,36,2024-07-06 18:34:06,36,1M,-19.0,52.0
25611,2024-07-06 18:34:07+00:00,30.0,100,2908.0,0,1,1125,1,1133,51,29,1,44,2024-07-06 18:34:07,36,1M,-19.0,52.0
25612,2024-07-06 18:34:08+00:00,30.0,100,2569.0,0,0,1160,0,1159,51,31,1,40,2024-07-06 18:34:08,36,1M,-19.0,52.0
25613,2024-07-06 18:34:09+00:00,30.0,100,2654.0,0,0,1089,0,1114,51,30,1,42,2024-07-06 18:34:09,36,1M,-19.0,52.0
25614,2024-07-06 18:34:11+00:00,30.0,100,3750.0,0,0,1089,0,1101,51,32,1,38,2024-07-06 18:34:11,36,1M,-19.0,52.0
25615,2024-07-06 18:34:12+00:00,30.0,100,2628.0,0,0,1089,0,1101,51,33,1,36,2024-07-06 18:34:12,36,1M,-19.0,52.0
25616,2024-07-06 18:34:13+00:00,30.0,100,2364.0,0,0,1101,0,1100,51,32,1,38,2024-07-06 18:34:13,36,1M,-19.0,52.0
25617,2024-07-06 18:34:14+00:00,30.0,100,2484.0,0,0,1089,0,1097,51,27,1,48,2024-07-06 18:34:14,36,1M,-19.0,52.0
25618,2024-07-06 18:34:15+00:00,30.0,100,3025.0,0,0,1112,0,1117,51,32,1,38,2024-07-06 18:34:15,36,1M,-20.3,52.0
25619,2024-07-06 18:34:16+00:00,30.0,100,2756.0,0,0,1112,0,1112,51,29,1,44,2024-07-06 18:34:16,36,1M,-20.3,52.0
25620,2024-07-06 18:34:17+00:00,30.0,100,3046.0,0,0,1065,0,1074,51,34,1,34,2024-07-06 18:34:17,36,1M,-20.3,52.0
25621,2024-07-06 18:34:18+00:00,30.0,100,2075.0,0,0,1148,0,1147,51,30,1,42,2024-07-06 18:34:18,36,1M,-20.3,52.0
25622,2024-07-06 18:34:19+00:00,30.0,100,4133.0,0,0,1101,0,1110,51,30,1,42,2024-07-06 18:34:19,36,1M,-20.3,52.0
25623,2024-07-06 18:34:20+00:00,30.0,100,2738.0,0,1,1078,1,1082,51,34,1,34,2024-07-06 18:34:20,36,1M,-20.3,52.0
25624,2024-07-06 18:34:21+00:00,30.0,100,3359.0,0,0,1112,0,1129,51,32,1,38,2024-07-06 18:34:21,36,1M,-20.3,52.0
25625,2024-07-06 18:34:22+00:00,30.0,100,2627.0,0,0,1172,0,1176,51,31,1,40,2024-07-06 18:34:22,36,1M,-20.3,52.0
25626,2024-07-06 18:34:24+00:00,30.0,100,2952.0,0,0,1101,0,1111,51,35,1,32,2024-07-06 18:34:24,36,1M,-20.3,52.0
25627,2024-07-06 18:34:25+00:00,30.0,100,2765.0,0,0,1101,0,1098,51,32,1,38,2024-07-06 18:34:25,36,1M,-20.3,52.0
25628,2024-07-06 18:34:26+00:00,30.0,100,2940.0,0,0,1089,0,1102,51,29,1,44,2024-07-06 18:34:26,36,1M,-20.3,52.0
25629,2024-07-06 18:34:27+00:00,30.0,100,2988.0,0,0,1077,0,1076,51,31,1,40,2024-07-06 18:34:27,36,1M,-20.3,52.0
25630,2024-07-06 18:34:28+00:00,30.0,100,3647.0,0,0,1172,0,1172,51,34,1,34,2024-07-06 18:34:28,36,1M,-20.3,52.0
25631,2024-07-06 18:34:29+00:00,30.0,100,2751.0,0,0,1101,0,1105,51,32,1,38,2024-07-06 18:34:29,36,1M,-20.3,52.0
25632,2024-07-06 18:34:30+00:00,30.0,100,3106.0,0,0,1136,0,1140,51,31,1,40,2024-07-06 18:34:30,36,1M,-20.3,52.0
25633,2024-07-06 18:34:31+00:00,30.0,100,2916.0,0,0,1148,0,1180,51,31,1,40,2024-07-06 18:34:31,36,1M,-20.3,52.0
25634,2024-07-06 18:34:32+00:00,30.0,100,3309.0,0,1,1113,1,1122,51,34,1,34,2024-07-06 18:34:32,36,1M,-20.3,52.0
25635,2024-07-06 18:34:33+00:00,30.0,100,2808.0,0,0,1207,0,1222,51,30,1,42,2024-07-06 18:34:33,36,1M,-20.3,52.0
25636,2024-07-06 18:34:35+00:00,30.0,100,2322.0,0,0,1136,0,1140,51,32,1,38,2024-07-06 18:34:35,36,1M,-20.3,52.0
25637,2024-07-06 18:34:36+00:00,30.0,100,2636.0,0,0,1101,0,1104,51,28,1,46,2024-07-06 18:34:36,36,1M,-20.3,52.0
25638,2024-07-06 18:34:37+00:00,30.0,100,3756.0,0,0,1089,0,1093,51,30,1,42,2024-07-06 18:34:37,36,1M,-20.3,52.0
25639,2024-07-06 18:34:38+00:00,30.0,100,2778.0,0,0,1053,0,1073,51,34,1,34,2024-07-06 18:34:38,36,1M,-20.3,52.0
25640,2024-07-06 18:34:39+00:00,30.0,100,3222.0,0,0,1112,0,1112,51,31,1,40,2024-07-06 18:34:39,36,1M,-20.3,52.0
25641,2024-07-06 18:34:40+00:00,30.0,100,2338.0,0,0,1112,0,1116,51,30,1,42,2024-07-06 18:34:40,36,1M,-20.3,52.0
25642,2024-07-06 18:34:41+00:00,30.0,100,3280.0,0,0,1065,0,1069,51,28,1,46,2024-07-06 18:34:41,36,1M,-20.3,52.0
25643,2024-07-06 18:34:42+00:00,30.0,100,2417.0,0,0,1065,0,1073,51,33,1,36,2024-07-06 18:34:42,36,1M,-20.3,52.0
25644,2024-07-06 18:34:43+00:00,30.0,100,3394.0,0,0,1101,0,1109,51,32,1,38,2024-07-06 18:34:43,36,1M,-20.3,52.0
25645,2024-07-06 18:34:44+00:00,30.0,100,3426.0,0,0,1112,0,1114,51,34,1,34,2024-07-06 18:34:44,36,1M,-20.3,52.0
25646,2024-07-06 18:34:45+00:00,30.0,100,3738.0,0,1,1101,1,1109,51,30,1,42,2024-07-06 18:34:45,36,1M,-20.3,52.0
25647,2024-07-06 18:34:46+00:00,30.0,100,4239.0,0,0,1136,0,1137,51,31,1,40,2024-07-06 18:34:46,36,1M,-20.3,52.0
25648,2024-07-06 18:34:47+00:00,30.0,100,3150.0,0,0,1101,0,1125,51,36,1,30,2024-07-06 18:34:47,36,1M,-20.3,52.0
25649,2024-07-06 18:34:49+00:00,30.0,100,2721.0,0,0,1148,0,1143,51,28,1,46,2024-07-06 18:34:49,36,1M,-20.3,52.0
25650,2024-07-06 18:34:50+00:00,30.0,100,2833.0,0,0,1077,0,1092,51,30,1,42,2024-07-06 18:34:50,36,1M,-20.3,52.0
25651,2024-07-06 18:34:51+00:00,30.0,100,3016.0,0,0,1077,0,1121,51,32,1,38,2024-07-06 18:34:51,36,1M,-20.3,52.0
25652,2024-07-06 18:34:52+00:00,30.0,100,2561.0,0,0,1101,0,1100,51,30,1,42,2024-07-06 18:34:52,36,1M,-20.3,52.0
25653,2024-07-06 18:34:53+00:00,30.0,100,3456.0,0,0,1124,0,1128,51,31,1,40,2024-07-06 18:34:53,36,1M,-20.3,52.0
25654,2024-07-06 18:34:54+00:00,30.0,100,2479.0,0,0,1101,0,1104,51,29,1,44,2024-07-06 18:34:54,36,1M,-20.3,52.0
25655,2024-07-06 18:34:55+00:00,30.0,100,2441.0,0,0,1172,0,1175,51,32,1,38,2024-07-06 18:34:55,36,1M,-20.3,52.0
25656,2024-07-06 18:34:56+00:00,30.0,100,3032.0,0,0,1053,0,1062,51,32,1,38,2024-07-06 18:34:56,36,1M,-20.3,52.0
25657,2024-07-06 18:34:57+00:00,30.0,100,2409.0,0,0,1112,0,1116,51,31,1,40,2024-07-06 18:34:57,36,1M,-20.3,52.0
25658,2024-07-06 18:34:58+00:00,30.0,100,2977.0,0,1,1184,1,1187,51,30,1,42,2024-07-06 18:34:58,36,1M,-20.3,52.0
25659,2024-07-06 18:34:59+00:00,30.0,100,3133.0,0,0,1077,0,1093,51,31,1,40,2024-07-06 18:34:59,36,1M,-20.3,52.0
25660,2024-07-06 18:35:00+00:00,30.0,100,2274.0,0,0,1101,0,1116,51,31,1,40,2024-07-06 18:35:00,36,1M,-20.3,52.0
25661,2024-07-06 18:35:02+00:00,30.0,100,2250.0,0,0,1089,0,1097,51,30,1,42,2024-07-06 18:35:02,36,1M,-20.3,52.0
25662,2024-07-06 18:35:03+00:00,30.0,100,2857.0,0,0,1089,0,1092,51,31,1,40,2024-07-06 18:35:03,36,1M,-20.3,52.0
