,_time,bandwidth_required,bitrate,jitter,lost_percentage,path_loss,test_number,transfer,ue_nr
68,2024-04-17 14:33:32+00:00,10M,1.73,6.311,0.77,10.0,2,0.211,2
69,2024-04-17 14:33:33+00:00,10M,1.83,13.026,0.79,10.0,2,0.223,2
70,2024-04-17 14:33:34+00:00,10M,2.22,3.816,0.8,10.0,2,0.272,2
71,2024-04-17 14:33:35+00:00,10M,2.4,6.655,0.81,10.0,2,0.293,2
72,2024-04-17 14:33:36+00:00,10M,2.03,5.443,0.76,10.0,2,0.247,2
73,2024-04-17 14:33:37+00:00,10M,2.34,4.895,0.8,10.0,2,0.286,2
74,2024-04-17 14:33:38+00:00,10M,2.22,6.112,0.76,10.0,2,0.272,2
75,2024-04-17 14:33:39+00:00,10M,2.47,4.465,0.78,10.0,2,0.301,2
76,2024-04-17 14:33:40+00:00,10M,2.4,6.158,0.78,10.0,2,0.293,2
77,2024-04-17 14:33:41+00:00,10M,2.57,3.778,0.74,10.0,2,0.314,2
78,2024-04-17 14:33:42+00:00,10M,2.5,4.856,0.75,10.0,2,0.305,2
79,2024-04-17 14:33:43+00:00,10M,2.1,8.76,0.72,10.0,2,0.256,2
80,2024-04-17 14:33:44+00:00,10M,2.66,6.242,0.8,10.0,2,0.325,2
81,2024-04-17 14:33:45+00:00,10M,2.13,5.644,0.7,10.0,2,0.26,2
82,2024-04-17 14:33:46+00:00,10M,2.87,7.108,0.79,10.0,2,0.351,2
83,2024-04-17 14:33:47+00:00,10M,3.09,4.238,0.71,10.0,2,0.376,2
84,2024-04-17 14:33:48+00:00,10M,2.93,6.537,0.69,10.0,2,0.358,2
85,2024-04-17 14:33:49+00:00,10M,1.73,8.252,0.74,10.0,2,0.211,2
86,2024-04-17 14:33:50+00:00,10M,1.55,6.868,0.7,10.0,2,0.189,2
87,2024-04-17 14:33:51+00:00,10M,2.17,5.909,0.84,10.0,2,0.264,2
88,2024-04-17 14:33:52+00:00,10M,2.17,5.411,0.8,10.0,2,0.264,2
89,2024-04-17 14:33:53+00:00,10M,2.73,3.646,0.79,10.0,2,0.334,2
90,2024-04-17 14:33:54+00:00,10M,1.92,16.127,0.73,10.0,2,0.235,2
91,2024-04-17 14:33:55+00:00,10M,1.8,7.568,0.74,10.0,2,0.219,2
92,2024-04-17 14:33:56+00:00,10M,2.64,7.477,0.82,10.0,2,0.322,2
93,2024-04-17 14:33:57+00:00,10M,2.5,3.357,0.76,10.0,2,0.305,2
94,2024-04-17 14:33:58+00:00,10M,2.77,8.141,0.73,10.0,2,0.338,2
95,2024-04-17 14:33:59+00:00,10M,2.67,4.593,0.72,10.0,2,0.325,2
96,2024-04-17 14:34:00+00:00,10M,2.63,7.243,0.74,10.0,2,0.321,2
97,2024-04-17 14:34:01+00:00,10M,2.68,8.624,0.72,10.0,2,0.327,2
98,2024-04-17 14:34:02+00:00,10M,2.44,5.593,0.74,10.0,2,0.298,2
99,2024-04-17 14:34:03+00:00,10M,2.97,3.878,0.76,10.0,2,0.362,2
100,2024-04-17 14:34:04+00:00,10M,2.17,6.915,0.71,10.0,2,0.264,2
101,2024-04-17 14:34:05+00:00,10M,1.34,15.554,0.7,10.0,2,0.164,2
102,2024-04-17 14:34:06+00:00,10M,2.1,7.449,0.83,10.0,2,0.256,2
103,2024-04-17 14:34:07+00:00,10M,2.61,4.233,0.8,10.0,2,0.318,2
104,2024-04-17 14:34:08+00:00,10M,2.17,3.746,0.79,10.0,2,0.264,2
105,2024-04-17 14:34:09+00:00,10M,1.69,4.48,0.66,10.0,2,0.206,2
106,2024-04-17 14:34:10+00:00,10M,3.17,4.476,0.83,10.0,2,0.387,2
107,2024-04-17 14:34:11+00:00,10M,1.92,5.765,0.62,10.0,2,0.235,2
108,2024-04-17 14:34:12+00:00,10M,2.47,6.782,0.77,10.0,2,0.301,2
109,2024-04-17 14:34:13+00:00,10M,2.4,6.047,0.78,10.0,2,0.293,2
110,2024-04-17 14:34:14+00:00,10M,2.49,4.09,0.71,10.0,2,0.304,2
111,2024-04-17 14:34:15+00:00,10M,2.2,6.992,0.77,10.0,2,0.269,2
112,2024-04-17 14:34:16+00:00,10M,2.18,6.207,0.78,10.0,2,0.266,2
113,2024-04-17 14:34:17+00:00,10M,2.03,7.565,0.79,10.0,2,0.247,2
114,2024-04-17 14:34:18+00:00,10M,2.06,10.236,0.77,10.0,2,0.252,2
115,2024-04-17 14:34:19+00:00,10M,1.75,4.099,0.83,10.0,2,0.214,2
116,2024-04-17 14:34:20+00:00,10M,2.14,6.575,0.82,10.0,2,0.262,2
117,2024-04-17 14:34:21+00:00,10M,2.49,6.281,0.79,10.0,2,0.304,2
118,2024-04-17 14:34:22+00:00,10M,1.99,4.124,0.77,10.0,2,0.243,2
119,2024-04-17 14:34:23+00:00,10M,1.75,5.143,0.75,10.0,2,0.215,2
120,2024-04-17 14:34:24+00:00,10M,2.55,8.972,0.82,10.0,2,0.31,2
121,2024-04-17 14:34:25+00:00,10M,2.4,4.099,0.77,10.0,2,0.293,2
122,2024-04-17 14:34:26+00:00,10M,3.38,1.96,0.74,10.0,2,0.413,2
123,2024-04-17 14:34:27+00:00,10M,2.4,8.977,0.68,10.0,2,0.293,2
124,2024-04-17 14:34:28+00:00,10M,2.47,4.995,0.72,10.0,2,0.301,2
125,2024-04-17 14:34:29+00:00,10M,3.21,4.469,0.76,10.0,2,0.392,2
126,2024-04-17 14:34:30+00:00,10M,2.17,4.566,0.66,10.0,2,0.264,2
127,2024-04-17 14:34:31+00:00,10M,2.57,7.051,0.77,10.0,2,0.314,2
128,2024-04-17 14:34:32+00:00,10M,1.75,4.45,0.69,10.0,2,0.214,2
129,2024-04-17 14:34:33+00:00,10M,1.96,5.529,0.78,10.0,2,0.239,2
130,2024-04-17 14:34:34+00:00,10M,2.64,12.206,0.83,10.0,2,0.322,2
131,2024-04-17 14:34:35+00:00,10M,2.64,8.99,0.74,10.0,2,0.322,2
132,2024-04-17 14:34:36+00:00,10M,2.06,14.321,0.74,10.0,2,0.252,2
133,2024-04-17 14:34:37+00:00,10M,2.15,7.083,0.73,10.0,2,0.263,2
134,2024-04-17 14:34:38+00:00,10M,2.1,6.457,0.83,10.0,2,0.256,2
135,2024-04-17 14:34:39+00:00,10M,1.46,5.709,0.77,10.0,2,0.178,2
136,2024-04-17 14:34:40+00:00,10M,1.62,16.251,0.81,10.0,2,0.198,2
137,2024-04-17 14:34:41+00:00,10M,1.48,7.664,0.85,10.0,2,0.181,2
138,2024-04-17 14:34:42+00:00,10M,2.17,6.035,0.84,10.0,2,0.264,2
139,2024-04-17 14:34:43+00:00,10M,1.85,7.728,0.83,10.0,2,0.226,2
140,2024-04-17 14:34:44+00:00,10M,2.64,7.564,0.81,10.0,2,0.322,2
141,2024-04-17 14:34:45+00:00,10M,2.29,3.134,0.73,10.0,2,0.28,2
142,2024-04-17 14:34:46+00:00,10M,2.06,5.963,0.76,10.0,2,0.252,2
143,2024-04-17 14:34:47+00:00,10M,2.54,6.256,0.79,10.0,2,0.31,2
144,2024-04-17 14:34:48+00:00,10M,2.17,7.429,0.74,10.0,2,0.264,2
145,2024-04-17 14:34:49+00:00,10M,1.96,9.088,0.75,10.0,2,0.239,2
146,2024-04-17 14:34:50+00:00,10M,2.4,6.477,0.81,10.0,2,0.293,2
147,2024-04-17 14:34:51+00:00,10M,2.24,3.935,0.76,10.0,2,0.273,2
148,2024-04-17 14:34:52+00:00,10M,1.78,10.233,0.79,10.0,2,0.218,2
149,2024-04-17 14:34:53+00:00,10M,2.24,7.254,0.79,10.0,2,0.274,2
150,2024-04-17 14:34:54+00:00,10M,2.23,6.433,0.8,10.0,2,0.272,2
151,2024-04-17 14:34:55+00:00,10M,2.02,5.086,0.77,10.0,2,0.246,2
152,2024-04-17 14:34:56+00:00,10M,2.88,7.602,0.8,10.0,2,0.352,2
153,2024-04-17 14:34:57+00:00,10M,2.19,11.008,0.71,10.0,2,0.267,2
154,2024-04-17 14:34:58+00:00,10M,2.26,6.373,0.77,10.0,2,0.276,2
155,2024-04-17 14:34:59+00:00,10M,2.55,6.501,0.75,10.0,2,0.311,2
156,2024-04-17 14:35:00+00:00,10M,2.79,5.88,0.77,10.0,2,0.341,2
157,2024-04-17 14:35:01+00:00,10M,2.85,5.589,0.73,10.0,2,0.348,2
158,2024-04-17 14:35:02+00:00,10M,1.66,6.064,0.65,10.0,2,0.202,2
159,2024-04-17 14:35:03+00:00,10M,2.36,10.726,0.79,10.0,2,0.288,2
160,2024-04-17 14:35:04+00:00,10M,2.06,12.41,0.78,10.0,2,0.252,2
161,2024-04-17 14:35:05+00:00,10M,1.96,7.771,0.8,10.0,2,0.239,2
162,2024-04-17 14:35:06+00:00,10M,2.64,11.205,0.8,10.0,2,0.322,2
163,2024-04-17 14:35:07+00:00,10M,1.59,5.527,0.74,10.0,2,0.194,2
164,2024-04-17 14:35:08+00:00,10M,1.94,7.562,0.78,10.0,2,0.239,2
165,2024-04-17 14:35:09+00:00,10M,1.88,8.932,0.81,10.0,2,0.228,2
166,2024-04-17 14:35:10+00:00,10M,1.71,4.533,0.82,10.0,2,0.209,2
167,2024-04-17 14:35:11+00:00,10M,1.73,5.491,0.81,10.0,2,0.211,2
168,2024-04-17 14:35:12+00:00,10M,1.82,17.894,0.85,10.0,2,0.222,2
