_time,seq_nr,time_latency,ue_id
2024-04-02 15:14:14+00:00, 185, 361, ue01
2024-04-02 15:14:16+00:00, 187, 402, ue01
2024-04-02 15:14:17+00:00, 188, 392, ue01
2024-04-02 15:14:18+00:00, 189, 385, ue01
2024-04-02 15:14:19+00:00, 190, 360, ue01
2024-04-02 15:14:20+00:00, 191, 414, ue01
2024-04-02 15:14:21+00:00, 192, 389, ue01
2024-04-02 15:14:22+00:00, 193, 384, ue01
2024-04-02 15:14:23+00:00, 194, 388, ue01
2024-04-02 15:14:24+00:00, 195, 390, ue01
2024-04-02 15:14:25+00:00, 196, 375, ue01
2024-04-02 15:14:26+00:00, 197, 383, ue01
2024-04-02 15:14:27+00:00, 198, 314, ue01
2024-04-02 15:14:30+00:00, 201, 237, ue01
2024-04-02 15:14:31+00:00, 202, 313, ue01
2024-04-02 15:14:32+00:00, 203, 371, ue01
2024-04-02 15:14:33+00:00, 204, 401, ue01
2024-04-02 15:14:34+00:00, 205, 316, ue01
2024-04-02 15:14:36+00:00, 207, 453, ue01
2024-04-02 15:14:37+00:00, 208, 384, ue01
2024-04-02 15:14:38+00:00, 209, 340, ue01
2024-04-02 15:14:39+00:00, 210, 321, ue01
2024-04-02 15:14:40+00:00, 211, 349, ue01
2024-04-02 15:14:41+00:00, 212, 359, ue01
2024-04-02 15:14:42+00:00, 213, 314, ue01
2024-04-02 15:14:43+00:00, 214, 397, ue01
2024-04-02 15:14:46+00:00, 217, 392, ue01
2024-04-02 15:14:47+00:00, 218, 390, ue01
2024-04-02 15:14:48+00:00, 219, 306, ue01
2024-04-02 15:14:51+00:00, 222, 301, ue01
2024-04-02 15:14:52+00:00, 223, 344, ue01
2024-04-02 15:14:54+00:00, 224, 991, ue01
2024-04-02 15:14:55+00:00, 226, 145, ue01
2024-04-02 15:14:56+00:00, 227, 226, ue01
2024-04-02 15:14:57+00:00, 228, 365, ue01
2024-04-02 15:14:59+00:00, 230, 365, ue01
2024-04-02 15:15:00+00:00, 231, 360, ue01
2024-04-02 15:15:02+00:00, 233, 385, ue01
2024-04-02 15:15:03+00:00, 234, 389, ue01
2024-04-02 15:15:06+00:00, 237, 221, ue01
2024-04-02 15:15:08+00:00, 238, 392, ue01
2024-04-02 15:15:09+00:00, 239, 392, ue01
2024-04-02 15:15:10+00:00, 240, 402, ue01
2024-04-02 15:15:11+00:00, 241, 448, ue01
2024-04-02 15:15:12+00:00, 242, 391, ue01
2024-04-02 15:15:13+00:00, 243, 392, ue01
2024-04-02 15:15:15+00:00, 245, 385, ue01
2024-04-02 15:15:16+00:00, 246, 365, ue01
2024-04-02 15:15:18+00:00, 248, 370, ue01
2024-04-02 15:15:19+00:00, 249, 385, ue01
2024-04-02 15:15:20+00:00, 250, 388, ue01
2024-04-02 15:15:21+00:00, 251, 430, ue01
2024-04-02 15:15:22+00:00, 253, 233, ue01
2024-04-02 15:15:24+00:00, 254, 608, ue01
2024-04-02 15:15:25+00:00, 256, 333, ue01
2024-04-02 15:15:27+00:00, 257, 408, ue01
2024-04-02 15:15:28+00:00, 259, 294, ue01
2024-04-02 15:15:29+00:00, 260, 138, ue01
2024-04-02 15:15:31+00:00, 262, 313, ue01
2024-04-02 15:15:33+00:00, 263, 429, ue01
2024-04-02 15:15:34+00:00, 264, 337, ue01
2024-04-02 15:15:35+00:00, 265, 380, ue01
2024-04-02 15:15:36+00:00, 266, 385, ue01
2024-04-02 15:15:38+00:00, 268, 393, ue01
2024-04-02 15:15:39+00:00, 269, 392, ue01
2024-04-02 15:15:40+00:00, 270, 343, ue01
2024-04-02 15:15:41+00:00, 271, 319, ue01
2024-04-02 15:15:42+00:00, 272, 386, ue01
2024-04-02 15:15:44+00:00, 274, 377, ue01
2024-04-02 15:15:45+00:00, 275, 386, ue01
2024-04-02 15:15:46+00:00, 276, 384, ue01
2024-04-02 15:15:48+00:00, 278, 381, ue01
2024-04-02 15:15:49+00:00, 279, 314, ue01
2024-04-02 15:15:53+00:00, 283, 372, ue01
2024-04-02 15:15:54+00:00, 284, 361, ue01
2024-04-02 15:15:55+00:00, 285, 383, ue01
2024-04-02 15:15:57+00:00, 287, 329, ue01
2024-04-02 15:15:59+00:00, 289, 389, ue01
2024-04-02 15:16:00+00:00, 290, 392, ue01
2024-04-02 15:16:01+00:00, 291, 386, ue01
2024-04-02 15:16:03+00:00, 293, 324, ue01
2024-04-02 15:16:04+00:00, 294, 387, ue01
2024-04-02 15:16:05+00:00, 295, 344, ue01
2024-04-02 15:16:06+00:00, 296, 358, ue01
2024-04-02 15:16:07+00:00, 297, 413, ue01
2024-04-02 15:16:09+00:00, 299, 329, ue01
2024-04-02 15:16:11+00:00, 301, 385, ue01
2024-04-02 15:16:12+00:00, 302, 380, ue01
2024-04-02 15:16:14+00:00, 304, 389, ue01
2024-04-02 15:16:15+00:00, 305, 372, ue01
2024-04-02 15:16:16+00:00, 306, 387, ue01
2024-04-02 15:16:17+00:00, 307, 379, ue01
2024-04-02 15:16:18+00:00, 308, 387, ue01
2024-04-02 15:16:19+00:00, 309, 372, ue01
2024-04-02 15:16:20+00:00, 310, 375, ue01
2024-04-02 15:16:21+00:00, 311, 375, ue01
2024-04-02 15:16:23+00:00, 313, 308, ue01
2024-04-02 15:16:25+00:00, 315, 422, ue01
2024-04-02 15:16:26+00:00, 316, 373, ue01
2024-04-02 15:16:29+00:00, 319, 374, ue01
2024-04-02 15:16:30+00:00, 320, 367, ue01
2024-04-02 15:16:31+00:00, 321, 426, ue01
2024-04-02 15:16:34+00:00, 324, 290, ue01
2024-04-02 15:16:36+00:00, 326, 345, ue01
2024-04-02 15:16:37+00:00, 327, 369, ue01
2024-04-02 15:16:39+00:00, 329, 389, ue01
2024-04-02 15:16:40+00:00, 330, 344, ue01
2024-04-02 15:16:43+00:00, 333, 377, ue01
2024-04-02 15:16:45+00:00, 335, 325, ue01
2024-04-02 15:16:46+00:00, 336, 260, ue01
2024-04-02 15:16:47+00:00, 337, 377, ue01
2024-04-02 15:16:48+00:00, 338, 390, ue01
2024-04-02 15:16:49+00:00, 339, 457, ue01
2024-04-02 15:16:50+00:00, 340, 413, ue01
2024-04-02 15:16:53+00:00, 343, 345, ue01
2024-04-02 15:16:54+00:00, 344, 393, ue01
2024-04-02 15:16:55+00:00, 345, 328, ue01
2024-04-02 15:16:56+00:00, 346, 396, ue01
2024-04-02 15:16:57+00:00, 347, 415, ue01
2024-04-02 15:16:58+00:00, 348, 384, ue01
2024-04-02 15:17:00+00:00, 350, 324, ue01
2024-04-02 15:17:01+00:00, 351, 368, ue01
2024-04-02 15:17:02+00:00, 352, 376, ue01
2024-04-02 15:17:03+00:00, 353, 385, ue01
2024-04-02 15:17:04+00:00, 354, 374, ue01
2024-04-02 15:17:05+00:00, 355, 424, ue01
2024-04-02 15:17:06+00:00, 356, 364, ue01
2024-04-02 15:17:07+00:00, 357, 385, ue01
2024-04-02 15:17:11+00:00, 361, 387, ue01
2024-04-02 15:17:13+00:00, 363, 389, ue01
2024-04-02 15:17:14+00:00, 364, 339, ue01
2024-04-02 15:17:15+00:00, 365, 381, ue01
2024-04-02 15:17:17+00:00, 367, 394, ue01
2024-04-02 15:17:18+00:00, 368, 573, ue01
2024-04-02 15:17:19+00:00, 369, 393, ue01
2024-04-02 15:17:20+00:00, 370, 307, ue01
2024-04-02 15:17:21+00:00, 371, 383, ue01
2024-04-02 15:17:22+00:00, 372, 397, ue01
2024-04-02 15:17:24+00:00, 374, 297, ue01
2024-04-02 15:17:26+00:00, 376, 389, ue01
2024-04-02 15:17:28+00:00, 378, 449, ue01
2024-04-02 15:17:29+00:00, 379, 437, ue01
2024-04-02 15:17:31+00:00, 381, 327, ue01
2024-04-02 15:17:32+00:00, 382, 329, ue01
2024-04-02 15:17:33+00:00, 383, 377, ue01
2024-04-02 15:17:34+00:00, 384, 373, ue01
2024-04-02 15:17:35+00:00, 385, 353, ue01
2024-04-02 15:17:36+00:00, 386, 409, ue01
2024-04-02 15:17:37+00:00, 387, 361, ue01
2024-04-02 15:17:38+00:00, 388, 292, ue01
2024-04-02 15:17:40+00:00, 390, 386, ue01
2024-04-02 15:17:42+00:00, 392, 404, ue01
2024-04-02 15:17:43+00:00, 393, 352, ue01
2024-04-02 15:17:45+00:00, 395, 488, ue01
2024-04-02 15:17:46+00:00, 396, 386, ue01
2024-04-02 15:17:47+00:00, 397, 381, ue01
2024-04-02 15:17:48+00:00, 398, 415, ue01
2024-04-02 15:17:49+00:00, 399, 429, ue01
2024-04-02 15:17:51+00:00, 401, 353, ue01
2024-04-02 15:17:52+00:00, 402, 395, ue01
2024-04-02 15:17:56+00:00, 406, 447, ue01
2024-04-02 15:17:57+00:00, 407, 407, ue01
2024-04-02 15:17:58+00:00, 408, 389, ue01
2024-04-02 15:17:59+00:00, 409, 350, ue01
2024-04-02 15:18:00+00:00, 410, 368, ue01
2024-04-02 15:18:01+00:00, 411, 450, ue01
2024-04-02 15:18:02+00:00, 412, 406, ue01
2024-04-02 15:18:03+00:00, 413, 292, ue01
2024-04-02 15:18:04+00:00, 414, 455, ue01
2024-04-02 15:18:05+00:00, 415, 394, ue01
2024-04-02 15:18:08+00:00, 418, 390, ue01
2024-04-02 15:18:09+00:00, 419, 281, ue01
2024-04-02 15:18:10+00:00, 420, 267, ue01
2024-04-02 15:18:11+00:00, 421, 401, ue01
2024-04-02 15:18:13+00:00, 423, 465, ue01
2024-04-02 15:18:14+00:00, 424, 382, ue01
2024-04-02 15:18:15+00:00, 425, 250, ue01
2024-04-02 15:18:16+00:00, 426, 406, ue01
2024-04-02 15:18:17+00:00, 427, 397, ue01
2024-04-02 15:18:18+00:00, 428, 260, ue01
2024-04-02 15:18:19+00:00, 429, 237, ue01
2024-04-02 15:18:20+00:00, 430, 343, ue01
2024-04-02 15:18:22+00:00, 432, 218, ue01
2024-04-02 15:18:23+00:00, 433, 387, ue01
2024-04-02 15:18:24+00:00, 434, 329, ue01
2024-04-02 15:18:26+00:00, 436, 366, ue01
2024-04-02 15:18:27+00:00, 437, 200, ue01
2024-04-02 15:18:28+00:00, 438, 351, ue01
2024-04-02 15:18:29+00:00, 439, 326, ue01
2024-04-02 15:18:31+00:00, 441, 384, ue01
2024-04-02 15:18:33+00:00, 443, 183, ue01
2024-04-02 15:18:34+00:00, 444, 313, ue01
2024-04-02 15:18:36+00:00, 446, 288, ue01
2024-04-02 15:18:37+00:00, 447, 235, ue01
2024-04-02 15:18:39+00:00, 449, 404, ue01
2024-04-02 15:18:40+00:00, 450, 362, ue01
2024-04-02 15:18:41+00:00, 451, 384, ue01
2024-04-02 15:18:42+00:00, 452, 268, ue01
2024-04-02 15:18:43+00:00, 453, 314, ue01
2024-04-02 15:18:44+00:00, 454, 309, ue01
2024-04-02 15:18:47+00:00, 456, 449, ue01
2024-04-02 15:18:48+00:00, 457, 415, ue01
2024-04-02 15:18:49+00:00, 459, 227, ue01
2024-04-02 15:18:50+00:00, 460, 348, ue01
2024-04-02 15:18:52+00:00, 462, 282, ue01
2024-04-02 15:18:53+00:00, 463, 341, ue01
2024-04-02 15:18:54+00:00, 464, 322, ue01
2024-04-02 15:18:56+00:00, 465, 409, ue01
2024-04-02 15:18:57+00:00, 466, 411, ue01
2024-04-02 15:18:58+00:00, 467, 427, ue01
2024-04-02 15:18:59+00:00, 469, 313, ue01
2024-04-02 15:19:01+00:00, 471, 227, ue01
2024-04-02 15:19:03+00:00, 472, 393, ue01
2024-04-02 15:19:05+00:00, 474, 365, ue01
2024-04-02 15:19:06+00:00, 475, 408, ue01
2024-04-02 15:19:08+00:00, 477, 361, ue01
2024-04-02 15:19:09+00:00, 478, 388, ue01
2024-04-02 15:19:13+00:00, 482, 369, ue01
2024-04-02 15:19:14+00:00, 483, 384, ue01
2024-04-02 15:19:16+00:00, 485, 442, ue01
2024-04-02 15:19:17+00:00, 486, 389, ue01
2024-04-02 15:19:18+00:00, 487, 404, ue01
2024-04-02 15:19:20+00:00, 489, 356, ue01
2024-04-02 15:19:21+00:00, 490, 377, ue01
2024-04-02 15:19:22+00:00, 491, 352, ue01
2024-04-02 15:19:23+00:00, 492, 439, ue01
2024-04-02 15:19:24+00:00, 493, 368, ue01
2024-04-02 15:19:26+00:00, 495, 566, ue01
2024-04-02 15:19:27+00:00, 496, 272, ue01
2024-04-02 15:19:28+00:00, 497, 399, ue01
2024-04-02 15:19:30+00:00, 499, 431, ue01
2024-04-02 15:19:31+00:00, 500, 411, ue01
2024-04-02 15:19:32+00:00, 501, 335, ue01
2024-04-02 15:19:34+00:00, 503, 484, ue01
2024-04-02 15:19:36+00:00, 505, 316, ue01
2024-04-02 15:19:37+00:00, 506, 367, ue01
2024-04-02 15:19:38+00:00, 507, 370, ue01
2024-04-02 15:19:39+00:00, 508, 282, ue01
2024-04-02 15:19:40+00:00, 509, 356, ue01
2024-04-02 15:19:41+00:00, 510, 409, ue01
2024-04-02 15:19:42+00:00, 511, 444, ue01
2024-04-02 15:19:43+00:00, 512, 417, ue01
2024-04-02 15:19:45+00:00, 514, 477, ue01
2024-04-02 15:19:46+00:00, 515, 394, ue01
2024-04-02 15:19:47+00:00, 516, 323, ue01
2024-04-02 15:19:48+00:00, 517, 345, ue01
2024-04-02 15:19:49+00:00, 518, 405, ue01
2024-04-02 15:19:50+00:00, 519, 384, ue01
2024-04-02 15:19:51+00:00, 520, 388, ue01
2024-04-02 15:19:52+00:00, 521, 361, ue01
2024-04-02 15:19:53+00:00, 522, 348, ue01
2024-04-02 15:19:54+00:00, 523, 329, ue01
2024-04-02 15:19:55+00:00, 524, 374, ue01
2024-04-02 15:19:56+00:00, 525, 421, ue01
2024-04-02 15:19:57+00:00, 526, 331, ue01
2024-04-02 15:19:58+00:00, 527, 447, ue01
2024-04-02 15:19:59+00:00, 528, 430, ue01
2024-04-02 15:20:00+00:00, 529, 325, ue01
2024-04-02 15:20:01+00:00, 530, 377, ue01
2024-04-02 15:20:02+00:00, 531, 380, ue01
2024-04-02 15:20:03+00:00, 532, 399, ue01
2024-04-02 15:20:04+00:00, 533, 378, ue01
2024-04-02 15:20:05+00:00, 534, 378, ue01
2024-04-02 15:20:06+00:00, 535, 405, ue01
2024-04-02 15:20:07+00:00, 536, 389, ue01
2024-04-02 15:20:09+00:00, 538, 249, ue01
2024-04-02 15:20:10+00:00, 539, 348, ue01
2024-04-02 15:20:11+00:00, 540, 477, ue01
2024-04-02 15:20:13+00:00, 542, 372, ue01
2024-04-02 15:20:14+00:00, 543, 375, ue01
2024-04-02 15:20:15+00:00, 544, 309, ue01
2024-04-02 15:20:16+00:00, 545, 499, ue01
2024-04-02 15:20:17+00:00, 546, 393, ue01
2024-04-02 15:20:18+00:00, 547, 376, ue01
2024-04-02 15:20:19+00:00, 548, 265, ue01
2024-04-02 15:20:20+00:00, 549, 389, ue01
2024-04-02 15:20:21+00:00, 550, 352, ue01
2024-04-02 15:20:24+00:00, 553, 373, ue01
2024-04-02 15:20:25+00:00, 554, 375, ue01
2024-04-02 15:20:26+00:00, 555, 423, ue01
2024-04-02 15:20:27+00:00, 556, 370, ue01
2024-04-02 15:20:28+00:00, 557, 354, ue01
2024-04-02 15:20:29+00:00, 558, 352, ue01
2024-04-02 15:20:30+00:00, 559, 340, ue01
2024-04-02 15:20:31+00:00, 560, 370, ue01
2024-04-02 15:20:32+00:00, 561, 365, ue01
2024-04-02 15:20:33+00:00, 562, 404, ue01
2024-04-02 15:20:34+00:00, 563, 333, ue01
2024-04-02 15:20:36+00:00, 565, 401, ue01
2024-04-02 15:20:37+00:00, 566, 398, ue01
2024-04-02 15:20:38+00:00, 567, 452, ue01
2024-04-02 15:20:40+00:00, 569, 316, ue01
2024-04-02 15:20:41+00:00, 570, 394, ue01
2024-04-02 15:20:42+00:00, 571, 317, ue01
2024-04-02 15:20:43+00:00, 572, 315, ue01
2024-04-02 15:20:44+00:00, 573, 378, ue01
2024-04-02 15:20:46+00:00, 575, 412, ue01
2024-04-02 15:20:47+00:00, 576, 397, ue01
2024-04-02 15:20:48+00:00, 577, 354, ue01
2024-04-02 15:20:49+00:00, 578, 383, ue01
